Entity	From	To	API Call(s)	# Calls	New Backend Endpoint	List	Detail	Move	Clarify	Notes
STUFF	Inbox	Next Action	POST /v1/stuff/{id}/transform {target:action}	1			Y	Y	Y	
STUFF	Inbox	Today	transform + todayAction	2			Y	Y		Emulated
STUFF	Inbox	Calendar	transform w/ scheduled_date (+ defer if duration)	1-2			Y	Y	Y	Emulated for duration
STUFF	Inbox	Waiting For	transform + waitAction	2			Y	Y	Y	"Emulated; backend accepts waiting_for in transform"
STUFF	Inbox	Project	POST /v1/stuff/{id}/transform {target:project}	1			Y	Y	Y	Prompts for outcome
STUFF	Inbox	Someday	PATCH /v1/stuff/{id} {state:someday}	1			Y	Y	Y	
STUFF	Inbox	Reference	getStuff + uploadRefFile + deleteStuff	3	POST /v1/stuff/{id}/transform {target:file}		Y	Y	Y	"Emulated; backend now has native transform"
STUFF	Inbox	Completed	POST /v1/stuff/{id}/complete	1		Y	Y	Y	Y	CLR via two-minute Do It Now
STUFF	Inbox	Trash	POST /v1/stuff/{id}/trash	1		Y	Y	Y	Y	
STUFF	Someday	Inbox	POST /v1/stuff/{id}/activate	1		Y	Y	I		
STUFF	Someday	Trash	POST /v1/stuff/{id}/trash	1		Y	I	I		
ACTION	Next	Today	POST /v1/action/{id}/today	1			Y	Y		
ACTION	Next	Calendar	POST /v1/action/{id}/defer	1			Y	Y		Prompts for date/time/duration
ACTION	Next	Waiting	POST /v1/action/{id}/wait	1			Y	Y		Prompts for waiting_for
ACTION	Next	Someday	POST /v1/action/{id}/someday	1			Y	Y		
ACTION	Next	Project	addProject + trashAction	2	POST /v1/action/{id}/transform {target:project}		Y	Y		"Emulated; backend now has native transform"
ACTION	Next	Reference			POST /v1/action/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
ACTION	Next	Completed	POST /v1/action/{id}/complete	1		Y	Y	Y		
ACTION	Next	Trash	POST /v1/action/{id}/trash	1		Y	Y	Y		
ACTION	Today	Next	POST /v1/action/{id}/undefer	1			Y	Y		
ACTION	Today	Calendar	POST /v1/action/{id}/defer	1			Y	Y		Prompts for date
ACTION	Today	Waiting	POST /v1/action/{id}/wait	1			Y	Y		Prompts for waiting_for
ACTION	Today	Someday	POST /v1/action/{id}/someday	1			Y	Y		
ACTION	Today	Project	addProject + trashAction	2	POST /v1/action/{id}/transform {target:project}		Y	Y		"Emulated; backend now has native transform"
ACTION	Today	Reference			POST /v1/action/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
ACTION	Today	Completed	POST /v1/action/{id}/complete	1		Y	Y	Y		
ACTION	Today	Trash	POST /v1/action/{id}/trash	1		Y	Y	Y		
ACTION	Calendar	Next	POST /v1/action/{id}/undefer	1			Y	Y		
ACTION	Calendar	Today	POST /v1/action/{id}/today	1			Y	Y		
ACTION	Calendar	Waiting	POST /v1/action/{id}/wait	1			Y	Y		Prompts for waiting_for
ACTION	Calendar	Someday	POST /v1/action/{id}/someday	1			Y	Y		
ACTION	Calendar	Project	addProject + trashAction	2	POST /v1/action/{id}/transform {target:project}		Y	Y		"Emulated; backend now has native transform"
ACTION	Calendar	Reference			POST /v1/action/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
ACTION	Calendar	Completed	POST /v1/action/{id}/complete	1			Y	Y		
ACTION	Calendar	Trash	POST /v1/action/{id}/trash	1			Y	Y		
ACTION	Waiting	Next	POST /v1/action/{id}/unwait	1			Y	Y		
ACTION	Waiting	Today	POST /v1/action/{id}/today	1			Y	Y		
ACTION	Waiting	Calendar	POST /v1/action/{id}/defer	1			Y	Y		Prompts for date
ACTION	Waiting	Someday	POST /v1/action/{id}/someday	1			Y	Y		
ACTION	Waiting	Project	addProject + trashAction	2	POST /v1/action/{id}/transform {target:project}		Y	Y		"Emulated; backend now has native transform"
ACTION	Waiting	Reference			POST /v1/action/{id}/transform {target:file}		I	I		"Not in frontend; backend has transform"
ACTION	Waiting	Completed	POST /v1/action/{id}/complete	1		Y	Y	Y		
ACTION	Waiting	Trash	POST /v1/action/{id}/trash	1		Y	Y	Y		
ACTION	Someday	Next	POST /v1/action/{id}/activate	1		Y	Y	Y		
ACTION	Someday	Today	activateAction + todayAction	2			I	Y		Emulated
ACTION	Someday	Calendar	POST /v1/action/{id}/defer	1			I	Y		Backend handles directly
ACTION	Someday	Waiting	POST /v1/action/{id}/wait	1			I	Y		Backend handles directly
ACTION	Someday	Project	addProject + trashAction	2	POST /v1/action/{id}/transform {target:project}		I	Y		"Emulated; backend now has native transform"
